 ,MORTE, eUTI, NVACC, SEXO, PNEUMOPATI, IMUNODEPRE, OBESIDADE, SIND_DOWN, RENAL, NEUROLOGIC, DIABETES, PUERPERA, OUT_MORBI, HEMATOLOGI, ASMA, HEPATICA, CARDIOPATI, AG0t18_AG18t30, AG0t18_AG30t40, AG0t18_AG40t50, AG0t18_AG50t65, AG0t18_AG65t75, AG0t18_AG75t85, AG0t18_AG85+, Branca_Preta, Branca_Parda, Branca_Amarela, Branca_Indigena, BDI_0_BDI_1, BDI_0_BDI_2, BDI_0_BDI_3, BDI_0_BDI_4, T4t12_T12t40, T4t12_T0t4, T4t12_TM40
AG0t18_AG50t65, -0.9402404938735599, 0.029098297878894768, 0.01606409350085797, -0.005543319428398582, 0.003357887429840067, 0.010153395486106795, -0.012213708860367125, 0.032929134248226063, -0.0007823738627513948, 0.03074611696419273, -0.03196716836347501, 0.01352447537750244, -0.015766549216087104, 0.012974509568746986, 0.02245755339274963, -0.003839736611208422, -0.03872789632749155, 0.8734746725191289, 0.9467337085068719, 0.9668318239039607, 1.0, 0.9764325465186141, 0.9697522569468698, 0.947964543915208, 0.001075536757788045, 0.015448567230641641, -0.0016989957465535772, 0.023384999878441552, 0.0033059364419628593, 0.0038959649724369812, 0.006633212073688099, 0.018279073743649916, -0.0009674468394744656, 0.02983958631860712, -0.00013874014985130437
AG0t18_AG65t75, -0.9387852318338932, 0.04124980392507124, 0.03047216374891163, -0.0014016319887590317, -0.004407726312310124, 0.011941063859353897, 0.0009018252746501673, 0.03445389068781621, -0.0014696273295407647, 0.026652578522489655, -0.041055295266929526, 0.013699254646546588, -0.024058725135668955, 0.012080693728530167, 0.02307946679750117, -0.0016277993578219876, -0.05515016627820075, 0.8678652309510522, 0.9408016855676715, 0.9613899677595742, 0.9764325465186138, 1.0, 0.9671199904991923, 0.9456912403053199, 0.0031973242086036314, 0.018183725496828694, -0.0024106157109192515, 0.023455635962436674, 0.0005980399692668256, 0.0037736179571347273, 0.0055260192558041175, 0.015168009885534335, -0.0018887207710469984, 0.03172496256190991, -0.0030445553335741843
AG0t18_AG75t85, -0.9356611357437659, 0.050913822252003305, 0.039190900255137044, 0.004284876098786583, -0.009792649617225131, 0.0151261403285035, 0.008357896146726941, 0.03495300699517777, -0.0018497505217226883, 0.013599382774021496, -0.03403557392092718, 0.013804807462563755, -0.026558706660133928, 0.012143211512256695, 0.022935912012182227, 0.0008809237594756115, -0.06223518114133011, 0.861623053205957, 0.9339104126730341, 0.9544629342118803, 0.9697522569468696, 0.9671199904991924, 1.0000000000000002, 0.941106982945533, 0.0062057405653249565, 0.022237522312207433, -0.002933748439712686, 0.02329842131169528, -0.00041228061679342504, 0.004383057562065975, 0.004903331330292886, 0.009899285156014292, 0.0011542719381613352, 0.03188064161839479, -0.0010111545338453596
AG0t18_AG85+, -0.9197947982634045, 0.06126335438778245, 0.04563600144131529, 0.01635092678990409, -0.010035860862205478, 0.01731799464942223, 0.012447525736817521, 0.03459648277759514, -0.00215316816100783, -0.0033514308838763674, -0.01868479395502236, 0.013726978133910644, -0.026206210591896456, 0.012192431454853716, 0.023644440289266922, 0.0025568790831237763, -0.06265271230282309, 0.8426163732541528, 0.9130211955234248, 0.9329987345479258, 0.9479645439152079, 0.9456912403053203, 0.941106982945533, 0.9999999999999999, 0.009185771784494519, 0.026483341910203285, -0.002121412446035931, 0.022372412001154415, -0.0024792663217697696, 0.007229431755437105, 0.007319836124604518, 0.01032999261860783, 0.007515165357926242, 0.03136415706061205, 0.0018387719740719515
Branca_Preta, -0.024135758362722064, 0.020558581927823776, -0.010936656683015772, -0.0012265080394091323, -0.0004899357705653834, -0.0027814052087662164, 0.004050909667746631, 0.0032496392377255262, -0.021250964425079774, 0.009664529056948328, -0.016095506064454635, -0.0045987046625945854, 0.00469338474227278, -0.0012564261767002557, 0.000406700626464178, -0.0003521315879933557, -0.016520717520133253, -0.00135792345647828, -0.001351568883375237, -0.0006766758623419622, 0.0010755367577880818, 0.003197324208603674, 0.006205740565324999, 0.009185771784494555, 1.0000000000000002, 0.22016964942567244, 0.05044397814313878, 0.026725147534680718, -0.04538788603126509, -0.03926622917078265, -0.051380258636377844, -0.07207865610231338, 0.003061670574134249, -0.0038960307189380935, -0.003926883536172619
Branca_Parda, -0.04603861481493708, 0.016157638785327083, -0.03241104758704491, -0.005916433709223974, 0.007283896249273213, 0.004298921392348233, 0.026202843299402218, 0.006086835380617773, -0.009425236916611164, 0.018093859812879098, -0.006310561686083479, -0.006046794086102948, 0.006979060477006011, 0.0032045400192592414, 0.0055350287720845725, -0.00036012865388238084, 0.009169300745218493, 0.010735069325155487, 0.012762255747199502, 0.012767637823671135, 0.015448567230641887, 0.01818372549682895, 0.022237522312207676, 0.02648334191020352, 0.22016964942567244, 1.0, 0.11340025341236905, 0.07362816721391953, -0.11225019644275035, -0.10995242615410229, -0.2439794902001099, -0.3698783370543814, 0.0030441884386288596, 0.0009776075822109658, -0.006718188733744357
Branca_Amarela, -0.006369265045524948, -0.0025059709263143045, -0.008928781101029192, -0.0059530487079072995, 0.00206370068580954, 0.0017913500087794116, 0.008969166621457456, 0.00017980558855693803, -0.002778653621348292, 0.0027034078848736333, -0.004557391902827331, 0.0009797821350854708, 0.003227159397934785, -0.0008882347365153637, 0.0015438316934159979, -0.0011243007125746709, 0.00122553518325743, -0.0018681212315741985, -0.00125602979842957, -0.001274329674046519, -0.0016989957465535369, -0.0024106157109192125, -0.00293374843971265, -0.002121412446035895, 0.050443978143138786, 0.11340025341236908, 0.9999999999999999, 0.014500461330149712, -0.03047652527387293, -0.012124779633572346, -0.0349821470243926, -0.05425465830678791, -0.0005051270047785868, -0.0002612165141079487, -0.0009963508806583835
Branca_Indigena, -0.026011060061936486, 0.011539476355331802, -0.003956155641134729, -0.002296754472430587, 0.0005953754724147277, 0.001257737887398205, 0.0035407953514032687, 0.001129360440140812, -0.0020053138642882524, 0.0036934849879323764, -0.0003323662687106331, -0.004422594859449312, 0.006116047186959048, 0.001230035600757108, 0.000474571007917168, 0.00023885061414580922, 0.006161608918554745, 0.01823474252513009, 0.022354205071982138, 0.023272050693706258, 0.023384999878441476, 0.023455635962436605, 0.023298421311695204, 0.02237241200115434, 0.026725147534680718, 0.07362816721391953, 0.01450046133014971, 1.0, -0.011973880921485625, -0.010610908821435455, -0.02774882056296083, -0.06829699546403181, -0.00026157661790324785, -0.002654811335645577, -0.0004392000906653967
BDI_0_BDI_1, -0.10728613323276771, -0.04305431779708743, -0.0214068873757028, 0.006973352331771573, 0.010948715771578039, 0.006632119794278081, 0.032944442815934324, 4.8490328235837936e-05, 0.0018212002283658597, 0.01171777432089746, 0.00045059618578025, 0.001259194818883336, 0.0075448122524627605, -0.0024580155528597485, 0.008429604705893046, 0.00367450374514055, 0.0030409264415323213, 0.001446332272841328, 0.0029629984448885996, 0.0036593227456300902, 0.003305936441962749, 0.0005980399692667136, -0.00041228061679351557, -0.002479266321769865, -0.0453878860312651, -0.11225019644275037, -0.030476525273872915, -0.011973880921485628, 1.0, 0.49301528813122514, 0.4972300158111169, 0.49792413019154247, 0.016781234447977397, -0.009159248298881078, -0.0008256033683510884
BDI_0_BDI_2, -0.1182324348261374, -0.004055209182387092, -0.01357950998003156, 0.008893512095241111, 0.012538213181186027, 0.012945936275622561, 0.02778113040686814, -0.0024605851270673787, 0.003062077862199413, 0.02151843390947573, 0.002551286143171402, -0.0011724522914611179, 0.0076614896634890454, 0.0016701073076659657, 0.01249455573899648, 0.006345441543193114, 0.021696969125908603, 0.0010270570977469657, 0.0026946610141094737, 0.0035079263323841126, 0.0038959649724372735, 0.0037736179571350352, 0.004383057562066293, 0.007229431755437407, -0.039266229170782645, -0.10995242615410225, -0.012124779633572327, -0.010610908821435444, 0.49301528813122514, 1.0, 0.5072734269807723, 0.507286861565153, 0.01632334816564105, -0.001639349181450786, 0.009022234763412434
BDI_0_BDI_3, -0.11317476745539949, 0.009809121868614002, -0.03223292027052765, 0.012089585663053211, 0.019418694408173773, 0.01543086868919486, 0.03499614088859701, -0.0026801188367300394, 0.003662178750053397, 0.028550917665237104, 0.0025140466708843934, -0.0030221485999546464, 0.02786458587876522, 0.0034836367857134488, 0.015721206776784465, 0.006668359681306116, 0.031079059338506552, 0.0021970798143823886, 0.005810922820312245, 0.0071959382608104226, 0.006633212073688379, 0.0055260192558043994, 0.0049033313302931855, 0.0073198361246048045, -0.05138025863637783, -0.2439794902001098, -0.03498214702439257, -0.02774882056296082, 0.4972300158111169, 0.5072734269807725, 1.0, 0.5512328584384172, 0.018629810094665303, 0.0018167344536669573, 0.0032098069162925934
BDI_0_BDI_4, -0.11321459369779979, 0.013541166049188251, -0.03793932184208796, 0.006058978668052762, 0.02827751842637997, 0.02062498075843907, 0.03824150210714087, -0.008882563331934535, 0.0090669427947414, 0.037560916943740814, -0.0035247509992825067, -0.00698756829446284, 0.02092973929148838, 0.0020028394204487086, 0.020752260711686378, 0.005725921587638195, 0.0443699052432925, 0.009886837987648516, 0.015449526279425944, 0.018076138247970126, 0.018279073743649663, 0.015168009885534094, 0.009899285156014058, 0.010329992618607592, -0.07207865610231341, -0.3698783370543815, -0.05425465830678789, -0.06829699546403183, 0.4979241301915425, 0.5072868615651532, 0.5512328584384173, 1.0000000000000002, 0.019493113848328372, -0.011250450848021901, -0.004805864062151379
T4t12_T12t40, -0.07005708683645691, -0.13092405234460858, -0.007761023088061805, -0.002785328191878846, -0.001877563113306821, -0.008383413214171302, -0.0014835822257466599, -0.0010838143774617626, -0.00387417261741038, -0.0010482280903061413, 0.00908963379760792, -0.007231669107503353, 0.0004919721324956628, -0.0015326241533684803, -0.0024450169922614886, -0.0012169387373617009, -0.003222265851311329, 0.003376802189299682, 0.005049638543768921, 0.00291882870065341, -0.0009674468394745949, -0.0018887207710471066, 0.001154271938161243, 0.007515165357926125, 0.003061670574134228, 0.003044188438628661, -0.0005051270047786027, -0.0002615766179032848, 0.016781234447977574, 0.01632334816564119, 0.01862981009466546, 0.019493113848328695, 1.0000000000000002, 0.3562322006836951, 0.21607959481570913
T4t12_T0t4, -0.10832880284199962, 0.1533803646045648, 0.005594380304318515, 0.013709644948593834, 0.002756606281431158, 0.0049303715588169105, 0.01688830354232116, 0.0021786379727979305, 0.005690153508695926, 0.010418181860756591, 0.008117333857031136, -0.007084680396612118, 0.007043909704977043, -3.6632057816330944e-05, 0.0004224013480727902, 0.001460172349063441, 0.017714846745272197, 0.013291495521821482, 0.02227754679084619, 0.026505031844452142, 0.029839586318607662, 0.03172496256191046, 0.03188064161839534, 0.031364157060612574, -0.003896030718938221, 0.0009776075822105937, -0.0002612165141079916, -0.00265481133564559, -0.009159248298880951, -0.0016393491814506997, 0.001816734453667119, -0.01125045084802159, 0.35623220068369504, 0.9999999999999999, 0.15931078057666365
T4t12_TM40, -0.022710128299450145, -0.10538123212931616, -0.019791835805292698, -0.005183450318358908, -0.0076397026388198295, -0.01805437834993856, -0.010880501730148229, -0.004274458347336667, -0.017153941733961238, -0.01423632599862811, -0.004152759456390929, -0.0035456302214534434, -0.004402892931393818, -0.0040914721712790635, -1.6737927473301165e-05, -0.001497054785621232, -0.003351495905546217, 0.004869562198787087, 0.0062958661213580475, 0.003884979900020629, -0.00013874014985105652, -0.0030445553335739384, -0.0010111545338451046, 0.0018387719740721941, -0.003926883536172607, -0.006718188733744439, -0.000996350880658394, -0.0004392000906654014, -0.0008256033683510381, 0.009022234763412488, 0.0032098069162926827, -0.00480586406215125, 0.21607959481570913, 0.1593107805766637, 1.0000000000000002
