t,deaths,cases,cases_cum,nCFR,cases_adj,cases_adj_cum,date
296,344,16301,4393489,0.021102999815962212,57333.333333333336,28438166.666666683,2020-10-22
297,370,17447,4410936,0.021207084312489254,61666.666666666664,28499833.33333335,2020-10-23
298,330,13010,4423946,0.02536510376633359,55000.0,28554833.33333335,2020-10-24
299,420,14555,4438501,0.028856063208519408,70000.0,28624833.33333335,2020-10-25
300,359,18279,4456780,0.019640024071338694,59833.33333333333,28684666.666666683,2020-10-26
301,360,16005,4472785,0.022492970946579195,60000.0,28744666.666666683,2020-10-27
302,413,16103,4488888,0.025647394895361112,68833.33333333333,28813500.000000015,2020-10-28
303,371,15533,4504421,0.023884632717440287,61833.33333333333,28875333.333333347,2020-10-29
304,427,16401,4520822,0.026034997865983782,71166.66666666667,28946500.000000015,2020-10-30
305,341,12830,4533652,0.026578332034294622,56833.333333333336,29003333.333333347,2020-10-31
306,669,21148,4554800,0.031634197087195004,111500.0,29114833.333333347,2020-11-01
307,448,17694,4572494,0.0253193172826947,74666.66666666667,29189500.000000015,2020-11-02
308,429,20638,4593132,0.020786897955228218,71500.0,29261000.000000015,2020-11-03
309,411,18879,4612011,0.02177022088034324,68500.0,29329500.000000015,2020-11-04
310,517,20947,4632958,0.02468133861650833,86166.66666666667,29415666.666666683,2020-11-05
311,552,21110,4654068,0.026148744670772144,92000.0,29507666.666666683,2020-11-06
312,541,17998,4672066,0.03005889543282587,90166.66666666667,29597833.33333335,2020-11-07
313,574,18365,4690431,0.03125510481894909,95666.66666666667,29693500.00000002,2020-11-08
314,571,25330,4715761,0.02254243979470983,95166.66666666667,29788666.666666687,2020-11-09
315,764,27700,4743461,0.027581227436823105,127333.33333333333,29916000.00000002,2020-11-10
316,573,22075,4765536,0.02595696489241223,95500.0,30011500.00000002,2020-11-11
317,584,22529,4788065,0.025922144791158064,97333.33333333333,30108833.33333335,2020-11-12
318,618,25442,4813507,0.0242905431962896,103000.0,30211833.33333335,2020-11-13
319,643,22276,4835783,0.02886514634584306,107166.66666666667,30319000.00000002,2020-11-14
320,744,26887,4862670,0.02767136534384647,124000.0,30443000.00000002,2020-11-15
321,696,31072,4893742,0.02239958805355304,116000.0,30559000.00000002,2020-11-16
322,695,27668,4921410,0.025119271360416365,115833.33333333333,30674833.33333335,2020-11-17
323,733,28709,4950119,0.025532063116095998,122166.66666666666,30797000.00000002,2020-11-18
324,762,29582,4979701,0.025758907443715773,127000.0,30924000.00000002,2020-11-19
325,1114,40640,5020341,0.027411417322834645,185666.66666666666,31109666.666666687,2020-11-20
326,623,27236,5047577,0.022874137171390807,103833.33333333333,31213500.00000002,2020-11-21
327,714,27909,5075486,0.025583145221971408,119000.0,31332500.00000002,2020-11-22
328,867,37749,5113235,0.022967495827704045,144500.0,31477000.00000002,2020-11-23
329,720,30353,5143588,0.023720884261852204,120000.0,31597000.00000002,2020-11-24
330,947,33833,5177421,0.027990423550970946,157833.33333333334,31754833.33333335,2020-11-25
331,756,30622,5208043,0.024688132715041472,126000.0,31880833.33333335,2020-11-26
332,830,33845,5241888,0.02452356330329443,138333.33333333334,32019166.666666683,2020-11-27
333,785,29542,5271430,0.02657233768871437,130833.33333333333,32150000.000000015,2020-11-28
334,702,26383,5297813,0.02660804305802979,117000.0,32267000.000000015,2020-11-29
335,1085,41676,5339489,0.02603416834629043,180833.33333333334,32447833.333333347,2020-11-30
336,1453,43228,5382717,0.0336124733968724,242166.66666666666,32690000.000000015,2020-12-01
337,929,31930,5414647,0.029094895082994048,154833.33333333334,32844833.333333347,2020-12-02
338,893,31039,5445686,0.028770256773736267,148833.33333333334,32993666.66666668,2020-12-03
339,886,34642,5480328,0.025575890537497835,147666.66666666666,33141333.333333347,2020-12-04
340,929,31385,5511713,0.029600127449418513,154833.33333333334,33296166.66666668,2020-12-05
341,786,27423,5539136,0.02866207198337162,131000.0,33427166.66666668,2020-12-06
342,968,36850,5575986,0.02626865671641791,161333.33333333334,33588500.000000015,2020-12-07
343,910,31530,5607516,0.02886140183951792,151666.66666666666,33740166.66666668,2020-12-08
344,843,31227,5638743,0.02699586895955423,140500.0,33880666.66666668,2020-12-09
345,1252,38015,5676758,0.03293436801262659,208666.66666666666,34089333.33333334,2020-12-10
346,851,32984,5709742,0.025800388066941547,141833.33333333334,34231166.66666668,2020-12-11
347,834,29565,5739307,0.028209030948756975,139000.0,34370166.66666668,2020-12-12
348,872,26350,5765657,0.03309297912713473,145333.33333333334,34515500.000000015,2020-12-13
349,931,36508,5802165,0.0255012599978087,155166.66666666666,34670666.66666668,2020-12-14
350,1002,32691,5834856,0.03065063779021749,167000.0,34837666.66666668,2020-12-15
351,749,27818,5862674,0.02692501258178158,124833.33333333333,34962500.000000015,2020-12-16
352,818,28991,5891665,0.02821565313373116,136333.33333333334,35098833.33333335,2020-12-17
353,928,31891,5923556,0.029099118873663416,154666.66666666666,35253500.000000015,2020-12-18
354,780,24129,5947685,0.03232624642546313,130000.0,35383500.000000015,2020-12-19
355,1203,28480,5976165,0.04224016853932584,200500.0,35584000.000000015,2020-12-20
356,856,29000,6005165,0.029517241379310343,142666.66666666666,35726666.66666668,2020-12-21
357,785,26290,6031455,0.0298592620768353,130833.33333333333,35857500.000000015,2020-12-22
358,882,29560,6061015,0.029837618403247633,147000.0,36004500.000000015,2020-12-23
359,914,28635,6089650,0.03191898026890169,152333.33333333334,36156833.33333335,2020-12-24
360,1049,30753,6120403,0.034110493285207946,174833.33333333334,36331666.66666669,2020-12-25
361,968,30707,6151110,0.031523756798124206,161333.33333333334,36493000.00000002,2020-12-26
362,972,28255,6179365,0.034400990975048666,162000.0,36655000.00000002,2020-12-27
363,1118,35772,6215137,0.03125349435312535,186333.33333333334,36841333.33333336,2020-12-28
364,847,27546,6242683,0.030748566034996008,141166.66666666666,36982500.00000002,2020-12-29
365,1018,32438,6275121,0.03138294592761576,169666.66666666666,37152166.66666669,2020-12-30
366,1012,32560,6307681,0.031081081081081083,168666.66666666666,37320833.33333335,2020-12-31
367,1877,51306,6358987,0.0365844150781585,312833.3333333333,37633666.66666669,2021-01-01
368,1177,41110,6400097,0.028630503527122354,196166.66666666666,37829833.33333335,2021-01-02
369,1195,41132,6441229,0.029052805601478167,199166.66666666666,38029000.000000015,2021-01-03
370,1297,50605,6491834,0.025629878470506868,216166.66666666666,38245166.66666668,2021-01-04
371,1263,42127,6533961,0.029980772426234956,210500.0,38455666.66666668,2021-01-05
372,1091,36461,6570422,0.02992238281999945,181833.33333333334,38637500.000000015,2021-01-06
373,1139,36250,6606672,0.03142068965517241,189833.33333333334,38827333.33333335,2021-01-07
374,1181,40433,6647105,0.029208814582148246,196833.33333333334,39024166.66666669,2021-01-08
375,1041,34465,6681570,0.030204555346003192,173500.0,39197666.66666669,2021-01-09
376,1653,40948,6722518,0.04036827195467422,275500.0,39473166.66666669,2021-01-10
377,1105,40197,6762715,0.027489613652760155,184166.66666666666,39657333.33333335,2021-01-11
378,994,34418,6797133,0.02888023708524609,165666.66666666666,39823000.000000015,2021-01-12
379,977,31875,6829008,0.030650980392156864,162833.33333333334,39985833.33333335,2021-01-13
380,1036,33131,6862139,0.03126980773293894,172666.66666666666,40158500.000000015,2021-01-14
381,1292,40487,6902626,0.03191147775829278,215333.33333333334,40373833.33333335,2021-01-15
382,979,29477,6932103,0.03321233504087933,163166.66666666666,40537000.000000015,2021-01-16
383,919,28666,6960769,0.03205888509035094,153166.66666666666,40690166.66666668,2021-01-17
384,1077,39120,6999889,0.027530674846625768,179500.0,40869666.66666668,2021-01-18
385,889,31774,7031663,0.027978850632592686,148166.66666666666,41017833.33333334,2021-01-19
386,1355,37166,7068829,0.0364580530592477,225833.33333333334,41243666.66666668,2021-01-20
387,906,30320,7099149,0.02988126649076517,151000.0,41394666.66666668,2021-01-21
388,919,32289,7131438,0.028461705224689524,153166.66666666666,41547833.33333334,2021-01-22
389,881,26885,7158323,0.03276920215733681,146833.33333333334,41694666.66666668,2021-01-23
390,871,26938,7185261,0.0323335065706437,145166.66666666666,41839833.33333334,2021-01-24
391,1129,37054,7222315,0.030469045177308793,188166.66666666666,42028000.00000001,2021-01-25
392,876,28049,7250364,0.031231059930835324,146000.0,42174000.00000001,2021-01-26
393,858,27149,7277513,0.031603373973258686,143000.0,42317000.00000001,2021-01-27
394,945,29171,7306684,0.03239518700078845,157500.0,42474500.00000001,2021-01-28
395,811,27374,7334058,0.02962665302842113,135166.66666666666,42609666.66666667,2021-01-29
396,799,24208,7358266,0.03300561797752809,133166.66666666666,42742833.333333336,2021-01-30
397,875,24309,7382575,0.03599489900859764,145833.33333333334,42888666.66666667,2021-01-31
398,1840,44045,7426620,0.04177545691906005,306666.6666666667,43195333.333333336,2021-02-01
399,1221,29309,7455929,0.04165955849738988,203500.0,43398833.333333336,2021-02-02
400,1047,27735,7483664,0.03775013520822066,174500.0,43573333.333333336,2021-02-03
401,998,27643,7511307,0.03610317259342329,166333.33333333334,43739666.66666667,2021-02-04
402,1220,33777,7545084,0.03611925274595139,203333.33333333334,43943000.00000001,2021-02-05
403,1014,26592,7571676,0.03813176895306859,169000.0,44112000.00000001,2021-02-06
404,1070,26136,7597812,0.04093970003060912,178333.33333333334,44290333.33333334,2021-02-07
405,1300,35661,7633473,0.036454389949805106,216666.66666666666,44507000.00000001,2021-02-08
406,1185,29369,7662842,0.040348666961762404,197500.0,44704500.00000001,2021-02-09
407,1762,36475,7699317,0.048307059629883485,293666.6666666667,44998166.66666667,2021-02-10
408,1212,29589,7728906,0.04096116800162222,202000.0,45200166.66666667,2021-02-11
409,1511,35781,7764687,0.04222911601129091,251833.3333333333,45452000.00000001,2021-02-12
