t,deaths,cases,cases_cum,nCFR,case_adj,cases_adj_cum,date
180,141,493,65455,0.28600405679513186,23500.0,3757500.000000001,2020-06-28
181,157,493,65948,0.3184584178498986,26166.666666666668,3783666.6666666674,2020-06-29
182,166,546,66494,0.304029304029304,27666.666666666668,3811333.333333334,2020-06-30
183,249,819,67313,0.304029304029304,41500.0,3852833.333333334,2020-07-01
184,172,543,67856,0.31675874769797424,28666.666666666668,3881500.0000000005,2020-07-02
185,180,628,68484,0.28662420382165604,30000.0,3911500.0000000005,2020-07-03
186,149,492,68976,0.30284552845528456,24833.333333333332,3936333.333333334,2020-07-04
187,162,547,69523,0.2961608775137112,27000.0,3963333.333333334,2020-07-05
188,192,600,70123,0.32,32000.0,3995333.333333334,2020-07-06
189,163,560,70683,0.2910714285714286,27166.666666666668,4022500.0000000005,2020-07-07
190,177,535,71218,0.33084112149532713,29500.0,4052000.0000000005,2020-07-08
191,151,538,71756,0.28066914498141265,25166.666666666668,4077166.666666667,2020-07-09
192,244,786,72542,0.3104325699745547,40666.666666666664,4117833.3333333335,2020-07-10
193,121,479,73021,0.25260960334029225,20166.666666666668,4138000.0,2020-07-11
194,146,455,73476,0.3208791208791209,24333.333333333332,4162333.3333333335,2020-07-12
195,164,555,74031,0.2954954954954955,27333.333333333332,4189666.666666667,2020-07-13
196,149,470,74501,0.3170212765957447,24833.333333333332,4214500.0,2020-07-14
197,161,560,75061,0.2875,26833.333333333332,4241333.333333333,2020-07-15
198,142,503,75564,0.2823061630218688,23666.666666666668,4265000.0,2020-07-16
199,143,526,76090,0.2718631178707224,23833.333333333332,4288833.333333333,2020-07-17
200,139,474,76564,0.29324894514767935,23166.666666666668,4312000.0,2020-07-18
201,143,443,77007,0.3227990970654628,23833.333333333332,4335833.333333333,2020-07-19
202,205,754,77761,0.2718832891246684,34166.666666666664,4370000.0,2020-07-20
203,172,524,78285,0.3282442748091603,28666.666666666668,4398666.666666667,2020-07-21
204,165,513,78798,0.3216374269005848,27500.0,4426166.666666667,2020-07-22
205,135,517,79315,0.2611218568665377,22500.0,4448666.666666667,2020-07-23
206,163,523,79838,0.31166347992351817,27166.666666666668,4475833.333333334,2020-07-24
207,169,572,80410,0.29545454545454547,28166.666666666668,4504000.000000001,2020-07-25
208,138,457,80867,0.30196936542669583,23000.0,4527000.000000001,2020-07-26
209,181,605,81472,0.2991735537190083,30166.666666666664,4557166.666666668,2020-07-27
210,150,481,81953,0.31185031185031187,25000.0,4582166.666666668,2020-07-28
211,116,428,82381,0.27102803738317754,19333.333333333332,4601500.000000001,2020-07-29
212,148,494,82875,0.29959514170040485,24666.666666666668,4626166.666666668,2020-07-30
213,133,482,83357,0.27593360995850624,22166.666666666668,4648333.333333335,2020-07-31
214,221,761,84118,0.290407358738502,36833.333333333336,4685166.666666668,2020-08-01
215,144,451,84569,0.31929046563192903,24000.0,4709166.666666668,2020-08-02
216,140,507,85076,0.27613412228796846,23333.333333333332,4732500.000000001,2020-08-03
217,118,430,85506,0.2744186046511628,19666.666666666668,4752166.666666668,2020-08-04
218,128,456,85962,0.2807017543859649,21333.333333333332,4773500.000000001,2020-08-05
219,122,432,86394,0.2824074074074074,20333.333333333332,4793833.333333334,2020-08-06
220,130,483,86877,0.2691511387163561,21666.666666666668,4815500.000000001,2020-08-07
221,136,490,87367,0.27755102040816326,22666.666666666668,4838166.666666668,2020-08-08
222,121,403,87770,0.3002481389578164,20166.666666666668,4858333.333333335,2020-08-09
