,cases,deaths,cases_cum,case_adj,case_adj_cum,date
192,7704,166,872669,27666.666666666668,10594999.999999998,2020-09-05
193,9079,180,881748,30000.0,10654999.999999998,2020-09-06
194,8013,178,889761,29666.666666666664,10714333.333333332,2020-09-07
195,12410,277,902171,46166.666666666664,10806666.666666666,2020-09-08
196,7654,181,909825,30166.666666666664,10867000.0,2020-09-09
197,9811,183,919636,30500.0,10928000.0,2020-09-10
198,8090,187,927726,31166.666666666664,10990333.333333334,2020-09-11
199,8619,168,936345,28000.0,11046333.333333334,2020-09-12
200,7835,173,944180,28833.333333333332,11104000.0,2020-09-13
201,8595,171,952775,28500.0,11161000.0,2020-09-14
202,7690,201,960465,33500.0,11228000.0,2020-09-15
203,6787,135,967252,22500.0,11273000.0,2020-09-16
204,13181,300,980433,50000.0,11373000.0,2020-09-17
205,7551,149,987984,24833.333333333332,11422666.666666666,2020-09-18
206,8114,179,996098,29833.333333333332,11482333.333333332,2020-09-19
207,7244,159,1003342,26500.0,11535333.333333332,2020-09-20
208,8559,144,1011901,24000.0,11583333.333333332,2020-09-21
209,7955,203,1019856,33833.333333333336,11650999.999999998,2020-09-22
210,6080,146,1025936,24333.333333333332,11699666.666666664,2020-09-23
211,8885,154,1034821,25666.666666666668,11750999.999999998,2020-09-24
212,8156,155,1042977,25833.333333333332,11802666.666666664,2020-09-25
213,6743,153,1049720,25500.0,11853666.666666664,2020-09-26
214,9816,232,1059536,38666.666666666664,11930999.999999998,2020-09-27
215,7077,137,1066613,22833.333333333332,11976666.666666664,2020-09-28
216,5592,112,1072205,18666.666666666668,12013999.999999998,2020-09-29
217,5114,125,1077319,20833.333333333332,12055666.666666664,2020-09-30
218,6904,142,1084223,23666.666666666668,12102999.999999998,2020-10-01
219,7173,152,1091396,25333.333333333332,12153666.666666664,2020-10-02
220,5628,133,1097024,22166.666666666668,12197999.999999998,2020-10-03
221,5545,115,1102569,19166.666666666668,12236333.333333332,2020-10-04
222,7095,145,1109664,24166.666666666668,12284666.666666666,2020-10-05
223,4116,107,1113780,17833.333333333332,12320333.333333332,2020-10-06
224,4901,122,1118681,20333.333333333332,12360999.999999998,2020-10-07
225,5964,130,1124645,21666.666666666668,12404333.333333332,2020-10-08
226,8716,212,1133361,35333.333333333336,12474999.999999998,2020-10-09
227,5442,131,1138803,21833.333333333332,12518666.666666664,2020-10-10
228,5011,105,1143814,17500.0,12553666.666666664,2020-10-11
229,5245,105,1149059,17500.0,12588666.666666664,2020-10-12
230,4894,124,1153953,20666.666666666668,12629999.999999998,2020-10-13
231,3842,107,1157795,17833.333333333332,12665666.666666664,2020-10-14
232,4714,127,1162509,21166.666666666668,12707999.999999998,2020-10-15
