mean_all,stdm_all,median_all,mean_death,stdm_death,median_death,mean_cure,stdm_cure,median_cure,n_death,n_cure,age_min,age_mean,age_max,ibp_min,ibp_mean,ibp_max
10.705882352941176,0.5461034207481413,8.0,10.198863636363637,0.7208409539785486,7.0,10.739336492890995,0.7291008041122903,8.0,176,211,30,35.045117845117844,39,1.382,1.5654370370370374,1.8297
10.737190082644629,0.4714183623415043,8.0,10.484662576687116,0.5377616317304809,8.0,10.65079365079365,0.7847764777615985,7.0,326,252,40,44.534803921568624,49,1.382,1.575773725490195,1.8297
11.183464566929134,0.3151066136309072,8.0,10.548672566371682,0.3593462516879028,8.0,11.808962264150944,0.5762653464676077,8.0,791,424,50,57.11007213465135,64,1.382,1.569851776649742,1.8297
11.014911463187325,0.3556835118128881,8.0,10.712162162162162,0.3994603996271906,8.0,11.264285714285714,0.7096226438653273,8.0,740,280,65,69.53175182481752,74,1.382,1.57174908759124,1.8297
10.286311389759666,0.32972797613859695,8.0,9.903047091412743,0.34653705507113985,8.0,11.485294117647058,0.7551452007264962,8.0,722,204,75,79.1430274135876,84,1.382,1.568680850218511,1.8297
9.107769423558898,0.4449547138632422,7.0,8.532915360501567,0.4527887905132408,7.0,10.591549295774648,1.1291950561192152,8.0,319,71,85,89.74511400651465,117,1.3843,1.5616057817589586,1.8297
9.189655172413794,0.927647825379911,7.0,6.428571428571429,1.447674473587093,5.0,10.0,1.1723305738395524,7.5,14,40,0,6.778443113772455,17,1.8313,1.9748748502994016,2.2735
10.150943396226415,1.445275629322456,8.0,7.0,1.0954451150103324,4.5,12.666666666666666,2.6957203513273384,9.5,26,24,18,24.252551020408163,29,1.8311,1.9595826530612261,2.2736
10.061068702290076,1.0707643054886056,7.0,8.418181818181818,0.9107258026449595,8.0,11.885714285714286,1.8416104727635771,6.0,55,70,30,34.71362229102167,39,1.8311,1.9738198142414882,2.2736
9.984126984126984,0.6464111382007692,7.0,9.228070175438596,0.7009912789245579,8.0,10.703125,1.17633740323936,7.0,114,64,40,44.48378728923476,49,1.8311,1.9820274967574576,2.2735
10.741854636591478,0.5826940167420159,7.0,10.103846153846154,0.6348716531289069,7.0,11.682926829268293,1.180290236512105,8.0,260,123,50,57.18731117824773,64,1.8311,1.9911521903323224,2.2736
9.975476839237057,0.5374467686530526,7.0,10.11328125,0.6735973403270533,7.5,9.653061224489797,0.8214336352301276,7.0,256,98,65,69.41935483870968,74,1.8313,1.9998763787721079,2.2736
9.567567567567568,0.6129486180297493,6.0,9.114155251141552,0.6191230519166877,6.0,9.824561403508772,1.098279243922073,7.0,219,57,75,79.13221153846153,84,1.8311,1.9964484374999985,2.2736
6.291970802919708,0.4708278823501952,5.0,6.027272727272727,0.4852209613182438,5.0,9.5,1.6827653866196646,7.5,110,18,85,89.60740740740741,110,1.8311,1.9953913580246923,2.2736
5.428571428571429,1.9254825351576883,3.0,3.0,0.408248290463863,3.0,9.0,6.999999999999999,9.0,4,2,1,5.36734693877551,17,2.3177,2.5141000000000013,2.6148
4.666666666666667,4.176654695380556,1.0,4.666666666666667,4.176654695380556,1.0,,,,3,0,18,23.666666666666668,29,2.2843,2.526945454545456,2.7295
3.2,0.7999999999999999,3.0,3.0,1.1547005383792517,3.0,3.5,1.4999999999999998,3.5,3,2,30,34.44,39,2.3076,2.4803920000000006,2.7295
4.75,3.449033681095813,2.0,1.3333333333333333,0.6666666666666667,2.0,15.0,,15.0,3,1,40,44.32142857142857,49,2.3076,2.485144642857143,2.7295
11.91304347826087,2.4846668472475955,7.0,11.142857142857142,2.816468724369795,6.5,13.25,5.440424090612264,8.0,14,8,50,57.51578947368421,64,2.2843,2.425686315789473,2.7295
12.454545454545455,2.3938297963843334,10.0,12.882352941176471,2.9814159103435784,10.0,13.25,3.092329219213245,14.0,17,4,65,69.55681818181819,74,2.2843,2.440187500000001,2.7295
10.826086956521738,3.6624643283147535,6.0,7.611111111111111,1.7989446595608973,6.0,6.75,1.8874586088176875,6.0,18,4,75,79.54794520547945,84,2.315,2.430410958904109,2.7295
9.3,2.0058248511107175,8.0,9.0,1.9548474547720012,8.0,19.0,,19.0,8,1,85,88.8048780487805,99,2.2929,2.430912195121952,2.7295
